date,coef_a,coef_b
2012-12-13 13:14,0.2687945740289481,0.920790168124141
2012-12-13 13:24,0.9035371236454076,0.05028209611655951
2012-12-13 13:34,0.7818365635603922,0.20018494681910148
2012-12-13 13:44,0.9970715499690428,0.0
2012-12-13 13:54,1.0225932450583861,0.0
2012-12-13 14:04,1.004758432061337,0.0
2012-12-13 14:14,1.002713075065014,0.0
2012-12-13 14:24,0.8666649152637493,0.0
2012-12-13 14:34,1.0562026076486764,0.0
2012-12-13 14:44,1.0272938542499712,0.0
2012-12-13 14:54,0.8818550868181773,0.0
2012-12-13 15:04,0.8235451580368014,0.1908755697454736
2012-12-13 15:14,0.9990723522431413,0.26898778071698465
2012-12-13 15:24,1.0555146705064842,0.0
2012-12-13 15:34,0.9010046515008667,0.0
2012-12-13 15:44,1.0702973849442983,0.0
2012-12-13 15:54,1.0424302344446743,0.0
2012-12-13 16:04,1.0727922385283994,0.0
2012-12-13 16:14,0.9053614720208789,0.0
2012-12-13 16:24,1.026798060037794,0.0
2012-12-13 16:34,1.055598710279284,0.0
2012-12-13 16:44,1.0450967680277683,0.0
2012-12-13 16:54,1.0429322872648348,0.0
2012-12-13 17:04,1.0648970897416852,0.0
2012-12-13 17:14,1.081109058164102,0.0
2012-12-13 17:24,1.090220942959337,0.0
2012-12-13 17:34,0.914712138045309,0.0
2012-12-13 17:44,0.8051620912894683,0.0
2012-12-13 17:54,1.0330183187567021,0.0
2012-12-13 18:04,1.0588463346867512,0.0
2012-12-13 18:14,0.8958447091645444,0.0
2012-12-13 18:24,1.0434774249795362,0.0
2012-12-13 18:34,1.0149796715021877,0.0
2012-12-13 18:44,1.0130395178994447,0.0
2012-12-13 18:54,0.6370196695864623,0.373623522823504
2012-12-13 19:04,0.8386258123200616,0.003465453536302164
2012-12-13 19:14,1.010575756633367,0.0
2012-12-13 19:24,0.8979791598416115,0.11134395352446763
2012-12-13 19:34,0.9964296188370834,0.0
2012-12-13 19:44,0.3952143379238899,0.5955644504756179
2012-12-13 19:54,0.9966595082265144,0.0
2012-12-13 20:04,0.34389573387800826,0.6642752492509292
2012-12-14 01:34,0.006655777701463007,1.1437356740318356
2012-12-14 01:44,0.0,0.9617093204888469
2012-12-14 01:54,0.35605583868399626,0.4719165420772534
2012-12-14 02:04,0.3729834942253887,0.5907537537569106
2012-12-14 02:14,0.0,1.139478170394869
2012-12-14 02:24,0.22290587951783924,0.7336285237933552
2012-12-14 02:34,0.336906253599376,0.6298605630557867
2012-12-14 02:44,0.12381110083249017,0.8432033988843228
2012-12-14 02:54,0.5725064156704008,0.377070804297521
2012-12-14 03:04,0.2967059433268237,0.5334192885260995
2012-12-14 03:14,0.26806054156037695,0.7005755422302984
2012-12-14 03:24,0.32136583436121785,0.6466941911201175
2012-12-14 03:34,0.20413878831276702,0.9341089465446439
2012-12-14 03:44,0.7654992944314997,0.18395221160532593
2012-12-14 03:54,0.7469669264023419,0.20322842007572353
2012-12-14 04:04,0.049809976719278,1.0909544506548712
2012-12-14 04:14,0.8258288101620902,0.0
2012-12-14 04:24,0.224858334098498,0.9170079121014865
2012-12-14 04:34,0.36980487316813865,0.772363903258078
2012-12-14 04:44,0.7050337612637725,0.24688474002580976
2012-12-14 04:54,0.3332586409180241,0.8084934724291601
2012-12-14 05:04,0.5583190100031756,0.5850593320015588
2012-12-14 05:14,0.2886606072032119,0.8590721486789192
2012-12-14 05:24,0.38784690279819806,0.5826325989660266
2012-12-14 05:34,0.20988471721516172,0.9576713163554184
2012-12-14 05:44,0.6675688798488244,0.5021604296978733
2012-12-14 05:54,0.29231096076272284,0.6832639507375816
2012-12-14 06:04,0.3728673089279357,0.6009180398358265
2012-12-14 06:14,0.046337773004678964,1.1189789764926557
2012-12-14 06:24,0.2515284878166347,0.9132064082474238
2012-12-14 06:34,0.6942712085629613,0.2761264458923587
2012-12-14 06:44,0.46803211008736245,0.25874522015714074
2012-12-14 06:54,0.0,1.1587691496863088
2012-12-14 07:04,0.0,1.150987453147648
2012-12-14 07:14,0.1479008059441207,0.6818658513527267
2012-12-14 07:24,0.0,1.1552974937643374
2012-12-14 07:34,0.0,1.1646671042047754
2012-12-14 07:44,0.0,1.1629481833944475
2012-12-14 07:54,0.0,1.1651868902140774
2012-12-14 08:04,0.0,1.1678716171656411
2012-12-14 08:14,0.0,1.1728531760934393
2012-12-14 08:24,0.0,1.1613871575403354
2012-12-14 14:04,0.17404199856283983,0.6371585723596868
2012-12-14 14:14,0.4777791338487898,0.06071365481682388
2012-12-14 14:24,0.23333984775133665,0.561727475753512
2012-12-14 14:34,0.0,1.0529898785941296
2012-12-14 14:44,0.45900280013347744,0.0
2012-12-14 14:54,0.29449400744437815,0.6080790200098066
2012-12-14 15:04,0.0,1.0493601632430616
2012-12-14 15:14,0.48050531540346786,0.0
2012-12-14 15:24,0.41280045361820933,0.3746275409221272
2012-12-14 15:34,0.1799061661629277,0.8705560045219225
2012-12-14 15:44,0.0,1.0497961787906616
2012-12-14 15:54,0.15051992068035144,0.9008973796136871
2012-12-14 16:04,0.1679113444903552,0.8748755644825633
2012-12-14 16:14,0.39583376918263147,0.4978588308597061
2012-12-14 16:24,0.45484807311143677,0.0
2012-12-14 16:34,0.650794642993698,0.04416117916637459
2012-12-14 16:44,0.6981995125317345,0.1953554181334806
2012-12-14 16:54,0.49382238625815655,0.39978123620257083
2012-12-14 17:04,0.20132589261279224,0.8412956553988095
2012-12-14 17:14,0.33399629236242173,0.7085914992341731
2012-12-14 17:24,0.7826898068690935,0.0
2012-12-14 17:34,0.5494529523147973,0.0
2012-12-14 17:44,0.8029203705079786,0.0
2012-12-14 17:54,0.5432322944956675,0.49930359648710326
2012-12-14 18:04,0.5130581116050965,0.0
2012-12-14 18:14,0.505988015705643,0.0
2012-12-14 18:24,0.5761596977303667,0.4663778594745309
2012-12-14 18:34,0.6494053938151789,0.39310702610415094
2012-12-14 18:44,0.0,1.5623539345901836
2012-12-14 18:54,0.5659301241456199,0.0
2012-12-14 19:04,0.627909039287062,0.433782235285518
2012-12-14 19:14,0.8137442384115608,0.0
2012-12-14 19:24,0.5927782747945844,0.0
2012-12-14 19:34,0.8444475211771495,0.4065153570136213
2012-12-14 19:44,0.0,1.5541792976844622
2012-12-14 19:54,0.40066057997871746,0.6641143915119275
2012-12-14 20:04,0.1585972307306543,0.7538803685804383
2012-12-14 20:14,0.0,1.546561894939688
2012-12-14 20:24,0.2618442177433608,0.6502525829270682
2012-12-14 20:34,0.0,1.588590409280602
2012-12-14 20:44,0.0,1.5995795111500264
2012-12-14 20:54,0.0,1.6000074990183286
2012-12-15 02:24,0.39848906541137563,0.8242359425263903
2012-12-15 02:34,0.36637114762760864,0.48502719151948304
2012-12-15 02:44,0.6088425580316353,0.3820937777397596
2012-12-15 02:54,0.3370958067262441,0.8279300889597858
2012-12-15 03:04,0.5254013559655689,0.6388174928017536
2012-12-15 03:14,0.5015882088997691,0.661992757233843
2012-12-15 03:24,0.4623691784805496,0.7004218929809911
2012-12-15 03:34,0.46700449975477676,0.6948195599342374
2012-12-15 03:44,0.8488063907244335,0.0
2012-12-15 03:54,0.7600978209462035,0.0
2012-12-15 04:04,0.6072404015590817,0.5359833714317106
2012-12-15 04:14,0.6972081307172213,0.4451162056098448
2012-12-15 04:24,0.7405434336887289,0.21070231113186563
2012-12-15 04:34,0.2383892501882461,0.9021896089088584
2012-12-15 04:44,0.5005561510659597,0.6393121419218046
2012-12-15 04:54,0.75400116780865,0.38520541342620074
2012-12-15 05:04,0.934760092672808,0.20399228087053214
2012-12-15 05:14,0.6004793640674354,0.5380092440324751
2012-12-15 05:24,0.556734307186021,0.5815397301494801
2012-12-15 05:34,0.6223034629980694,0.5157762127679192
2012-12-15 05:44,0.6695856701099301,0.46829937764774976
2012-12-15 05:54,0.5634284256133357,0.5742400030541699
2012-12-15 06:04,0.9709123396805698,0.0
2012-12-15 06:14,0.5061082450135619,0.6320033881384965
2012-12-15 06:24,0.8577058414746429,0.0
2012-12-15 06:34,0.860858202194556,0.0
2012-12-15 06:44,0.9199772490610619,0.21964721340259188
